avg_ready,body_bundles,body_dynamic_occupancy,body_frequency,crit_path,dep_depth,dynamic_bundles,dynamic_ipb,dynamic_occupancy,family,kernel,local_sched_bound,max_ready,parallelism,peak_live,realisation,region_kind,registers_used,res_mii,static_bundles,static_ipb,tier,u1_disamb,u1_model,u4_disamb,u4_disamb_acc,u4_plain,u8_disamb_acc,vectorized
2.333,3,0.375,8.0,8,2,74.0,1.8784,0.2348,dot,dot vi8,3,5,1.75,10,compact,vector,22,1,21.0,2.0952,IVSR+LICM+loop-reg+superblock,3.0,3.0,3.0,1.25,3.0,1.125,1
2.333,3,0.375,16.0,8,2,130.0,1.8769,0.2346,dot,dot vi16,3,5,1.75,9,compact,vector,23,1,21.0,2.1429,IVSR+LICM+loop-reg+superblock,3.0,3.0,3.0,1.25,3.0,1.125,1
0,15,0.3583,1.0,,,20.0,2.5,0.3125,reduction,reduction vi8,15,,0,17,unrolled,vector,31,,20.0,2.5,IVSR+LICM+loop-reg+superblock,12.0,15.0,7.0,7.0,15.0,6.125,1
1.667,3,0.25,16.0,7,2,130.0,1.4923,0.1865,reduction,reduction vi32,3,3,1.286,8,compact,vector,20,1,21.0,1.9048,IVSR+LICM+loop-reg+superblock,3.0,3.0,1.5,0.75,1.5,0.75,1
1.667,4,0.1875,7.0,6,2,77.0,1.6364,0.2045,elementwise,elementwise add,4,3,1.667,24,compact+peeled,vector,31,1,25.0,2.48,IVSR+LICM+loop-reg+superblock,3.0,3.0,1.0,1.0,3.0,1.0,1
1.667,4,0.1875,7.0,6,2,77.0,1.6364,0.2045,elementwise,elementwise mul,4,3,1.667,22,compact+peeled,vector,31,1,25.0,2.48,IVSR+LICM+loop-reg+superblock,3.0,3.0,1.0,1.0,3.0,1.0,1
0,13,0.375,1.0,,,50.0,1.68,0.21,elementwise,elementwise copy,12,,0,22,unrolled,memory-only,31,,25.0,2.24,IVSR+LICM+loop-reg+superblock,7.0,13.0,6.25,6.25,13.0,6.125,1
1.75,5,0.2,7.0,8,3,85.0,1.8,0.225,expression,expr a+b+c,5,4,1.875,30,compact+peeled,vector,31,1,27.0,2.8519,IVSR+LICM+loop-reg+superblock,4.0,4.0,1.5,1.5,4.0,1.25,1
1.75,5,0.2,7.0,8,3,85.0,1.8,0.225,expression,expr a*b+c,5,4,1.875,30,compact+peeled,vector,31,1,27.0,2.8519,IVSR+LICM+loop-reg+superblock,4.0,4.0,1.5,1.5,4.0,1.25,1
1.75,5,0.2,7.0,8,3,85.0,1.8,0.225,expression,expr (a+b)*c,5,4,1.875,30,compact+peeled,vector,31,1,27.0,2.8519,IVSR+LICM+loop-reg+superblock,4.0,4.0,1.5,1.5,4.0,1.25,1
1.8,6,0.2083,7.0,10,4,94.0,1.9149,0.2394,expression,expr a+b+c+d,6,5,2.0,30,compact+peeled,vector,31,2,30.0,3.0667,IVSR+LICM+loop-reg+superblock,5.0,5.0,2.0,2.0,5.0,1.625,1
1.5,5,0.175,8.0,8,3,87.0,1.3218,0.1652,axpy,axpy vi8,5,3,1.5,9,compact,vector,18,1,20.0,1.7,IVSR+LICM+loop-reg+superblock,4.0,4.0,1.25,1.25,4.0,1.0,1
1.4,5,0.2,16.0,9,4,159.0,1.3774,0.1722,axpy,axpy vi16,5,2,1.444,9,compact,vector,19,1,20.0,1.75,IVSR+LICM+loop-reg+superblock,4.0,4.0,1.25,1.25,4.0,1.0,1
0,8,0.4844,1.0,,,53.0,1.6604,0.2075,axpy,axpy remainder,9,,0,18,unrolled,vector,31,,22.0,2.3182,IVSR+LICM+loop-reg+superblock,6.0,8.0,4.25,4.25,8.0,4.125,1
1.889,9,0.25,256.0,16,8,3667.0,1.7328,0.2166,gemm,gemm vi8 16^3,9,5,1.938,24,unrolled,vector,31,3,44.0,2.75,IVSR+LICM+loop-reg+superblock,4.0,7.0,2.5,2.5,7.0,2.25,1
2.067,15,0.2667,64.0,28,14,1399.0,1.9671,0.2459,gemm,gemm vi8 8x8x32,15,7,2.036,29,unrolled,vector,31,4,54.0,2.9815,IVSR+LICM+loop-reg+superblock,8.0,13.0,4.5,4.5,13.0,4.25,1
2.25,16,0.2891,64.0,29,15,1471.0,2.1101,0.2638,gemm,gemm vi16,16,7,2.138,29,unrolled,vector,31,5,56.0,3.0357,IVSR+LICM+loop-reg+superblock,11.0,14.0,5.25,5.25,13.25,4.75,1
3.167,7,0.3036,7.0,12,5,100.0,2.37,0.2963,convolution,conv 3-tap,7,6,3.083,30,compact+peeled,vector,31,3,30.0,3.3333,IVSR+LICM+loop-reg+superblock,5.0,6.0,3.0,3.0,6.0,2.75,1
3.625,9,0.3472,7.0,16,7,112.0,2.6339,0.3292,convolution,conv 5-tap,9,8,3.438,30,compact+peeled,vector,31,4,30.0,3.6667,IVSR+LICM+loop-reg+superblock,7.0,8.0,4.5,4.5,8.0,4.0,1
4.5,11,0.375,7.0,20,9,126.0,2.6111,0.3264,convolution,conv 7-tap,11,10,3.65,30,compact+peeled,vector,31,5,32.0,3.0,IVSR+LICM+loop-reg+superblock,9.0,10.0,5.5,5.5,10.0,5.0,1
3.286,8,0.3281,7.0,13,6,101.0,2.2277,0.2785,convolution,conv 3-tap vi16,8,6,3.154,20,compact+peeled,vector,31,3,25.0,2.56,IVSR+LICM+loop-reg+superblock,5.0,6.0,4.0,4.0,6.0,4.0,1
0,16,0.4453,8.0,,,573.0,1.9878,0.2485,conv2d,conv2d 3-point row,16,,0,30,unrolled,vector,31,,52.0,2.9808,IVSR+LICM+loop-reg+superblock,11.0,12.0,8.0,8.0,9.0,7.5,1
10.182,16,0.7812,18.0,20,10,627.0,3.614,0.4518,conv2d,conv2d 3x3 stencil,16,24,4.8,30,compact,vector,31,8,72.0,2.875,IVSR+loop-reg+superblock,15.0,16.0,13.0,13.0,13.25,12.625,1
0,16,0.8047,8.0,,,635.0,3.0756,0.3844,conv2d,conv2d 3-point weighted,15,,0,30,unrolled,vector,31,,52.0,3.5,IVSR+loop-reg+superblock,14.0,15.0,13.25,13.25,13.5,13.125,1
3.25,9,0.3333,56.0,14,7,851.0,2.1833,0.2729,conv2d,conv2d 3-point vi16,9,6,3.143,22,compact,vector,31,3,44.0,3.0682,IVSR+LICM+loop-reg+superblock,6.0,7.0,3.75,3.75,7.0,3.375,1
